DateTime,sampleRate,xPosition,yPosition,zPosition,xShortBufferAvg,yShortBufferAvg,zShortBufferAvg,xLongBufferAvg,yLongBufferAvg,zLongBufferAvg,xAvgDifferenceMagnitude,yAvgDifferenceMagnitude,zAvgDifferenceMagnitude,totalDifferenceMagnitude,breathingDetectionThreshold,peakDetected,peakDetectedFiltered,breathsPerMinute
12/05/2020 17:23:55,59.83007,0.918457,0.05761719,-0.40625,0.9197184,0.04166666,-0.4081624,0.9193209,0.03669621,-0.40702,0.0003975034,0.00497045,0.001142442,0.006510396,0.04987002,False,False,0
12/05/2020 17:23:55,59.83007,0.9169922,0.05419922,-0.3999023,0.919108,0.04366048,-0.4076335,0.9192346,0.03734447,-0.4067563,0.0001266003,0.006316006,0.0008771122,0.007319719,0.04986502,False,False,0
12/05/2020 17:23:55,59.8232,0.9145508,0.04492188,-0.4101563,0.918335,0.04467773,-0.4086507,0.9190674,0.03761509,-0.4068778,0.0007324219,0.00706264,0.00177291,0.009567972,0.04986002,False,False,0
12/05/2020 17:23:55,59.8232,0.9135742,0.04394531,-0.4155273,0.9174805,0.04561361,-0.4101155,0.918878,0.03783338,-0.407176,0.001397491,0.007780228,0.002939492,0.01211721,0.04985502,False,False,0
12/05/2020 17:23:55,59.83142,0.9111328,0.03662109,-0.415039,0.9158528,0.0460612,-0.4104818,0.9186198,0.03779297,-0.4074381,0.002766907,0.008268226,0.003043622,0.01407875,0.04985002,False,False,0
12/05/2020 17:23:55,59.83142,0.9111328,0.03662109,-0.415039,0.9150391,0.04638672,-0.4118245,0.9183782,0.03775517,-0.4076833,0.003339171,0.008631554,0.004141182,0.01611191,0.04984502,False,False,0
12/05/2020 17:23:55,59.82942,0.9160156,0.04345703,-0.4179687,0.9146729,0.04724121,-0.4130859,0.9183044,0.03793335,-0.4080048,0.003631592,0.009307861,0.005081147,0.0180206,0.04984002,False,False,0
12/05/2020 17:23:55,59.82942,0.9145508,0.04931641,-0.402832,0.9141846,0.04825846,-0.4122721,0.9181907,0.03827829,-0.407848,0.004006088,0.009980172,0.004424125,0.01841038,0.04983502,False,False,0
12/05/2020 17:23:55,59.83163,0.9208984,0.05029297,-0.3945313,0.9146321,0.04878743,-0.4106038,0.9182703,0.03863166,-0.4074563,0.003638208,0.01015577,0.003147483,0.01694146,0.04983002,False,False,0
12/05/2020 17:23:55,59.83163,0.9199219,0.04589844,-0.3911133,0.9152018,0.04825846,-0.4083659,0.9183175,0.03883928,-0.4069894,0.003115654,0.00941918,0.00137648,0.01391131,0.04982502,False,False,0
12/05/2020 17:23:55,59.82737,0.9267578,0.03662109,-0.3818359,0.9163411,0.04695638,-0.4053548,0.918552,0.03877767,-0.4062907,0.002210855,0.008178711,0.0009358823,0.01132545,0.04982002,False,False,0
12/05/2020 17:23:55,59.82737,0.9301757,0.02490234,-0.3857422,0.9178467,0.04370117,-0.4029948,0.9188661,0.03840266,-0.4057353,0.001019418,0.00529851,0.002740532,0.009058461,0.04981503,False,False,0
12/05/2020 17:23:55,59.82222,0.9301757,0.02490234,-0.3857422,0.9188232,0.04097493,-0.4012858,0.9191638,0.03804739,-0.4052092,0.0003405213,0.002927545,0.003923386,0.007191453,0.04981003,False,False,0
12/05/2020 17:23:55,59.82222,0.9296874,0.02246094,-0.3813477,0.9198812,0.03833008,-0.3997396,0.9194336,0.03764774,-0.4045973,0.0004475713,0.0006823428,0.004857779,0.005987693,0.04980503,False,False,0
12/05/2020 17:23:55,59.86976,0.9355468,0.02294922,-0.3867188,0.9216309,0.03649902,-0.3977864,0.9198364,0.03728027,-0.4041504,0.001794457,0.0007812493,0.006363928,0.008939635,0.04980003,False,False,0
12/05/2020 17:23:55,59.86976,0.942871,0.02294922,-0.3793945,0.9240723,0.03474935,-0.3947754,0.9203982,0.03693074,-0.4035466,0.00367403,0.002181388,0.008771181,0.0146266,0.04979503,False,False,0
12/05/2020 17:23:55,59.83945,0.9370117,0.03076172,-0.3803711,0.9262288,0.03426107,-0.3918864,0.9207938,0.03678386,-0.4029948,0.00543505,0.002522789,0.0111084,0.01906624,0.04979003,False,False,0
12/05/2020 17:23:55,59.83945,0.9326171,0.03417969,-0.3867188,0.9280192,0.03405762,-0.3895264,0.9210687,0.03672329,-0.4026163,0.006950438,0.002665676,0.0130899,0.02270601,0.04978503,False,False,0
12/05/2020 17:23:55,59.83359,0.9257812,0.03613281,-0.3920898,0.9288329,0.03344727,-0.3873698,0.9211758,0.03670987,-0.402377,0.007657111,0.003262606,0.01500726,0.02592697,0.04978003,False,False,0
12/05/2020 17:23:55,59.83359,0.9257812,0.03613281,-0.3920898,0.9297688,0.03234863,-0.3864746,0.9212782,0.03669705,-0.4021484,0.008490622,0.004348416,0.01567382,0.02851285,0.04977503,False,False,0
12/05/2020 17:23:55,59.82097,0.9208984,0.03076172,-0.390625,0.9297688,0.03072103,-0.3861491,0.92127,0.03656802,-0.4018979,0.008498847,0.00584699,0.01574883,0.03009467,0.04977003,False,False,0
12/05/2020 17:23:55,59.82097,0.921875,0.03271484,-0.3945313,0.9299316,0.0296224,-0.3864339,0.9212828,0.03648604,-0.4017412,0.008648753,0.006863641,0.01530725,0.03081964,0.04976503,False,False,0
12/05/2020 17:23:55,59.8248,0.9316406,0.03662109,-0.4003906,0.9303385,0.0296224,-0.3879801,0.9214986,0.03648885,-0.401713,0.008839905,0.006866453,0.01373291,0.02943927,0.04976003,False,False,0
12/05/2020 17:23:55,59.8248,0.9321288,0.04199219,-0.3994141,0.9305012,0.03104655,-0.3891195,0.9217156,0.03660116,-0.4016661,0.008785665,0.005554615,0.01254666,0.02688694,0.04975503,False,False,0
12/05/2020 17:23:55,59.83403,0.9228516,0.04150391,-0.4067383,0.9298909,0.03243001,-0.3908691,0.9217383,0.03669922,-0.4017676,0.008152664,0.004269209,0.01089844,0.02332031,0.04975003,False,False,0
12/05/2020 17:23:55,59.83403,0.9228516,0.04150391,-0.4067383,0.9293212,0.03401693,-0.392985,0.9217601,0.03679343,-0.401865,0.007561147,0.002776504,0.008880019,0.01921767,0.04974503,False,False,0
12/05/2020 17:23:55,59.84315,0.9223633,0.04052734,-0.4018555,0.9282226,0.03548177,-0.3942464,0.9217717,0.03686523,-0.4018649,0.006450891,0.001383465,0.007618427,0.01545278,0.04974004,False,False,0
12/05/2020 17:23:55,59.84315,0.9223633,0.03857422,-0.40625,0.9265137,0.03678386,-0.3964844,0.9217829,0.03689748,-0.4019476,0.004730821,0.0001136251,0.005463213,0.01030766,0.04973504,False,False,0
12/05/2020 17:23:55,59.84568,0.9267578,0.04199219,-0.4155273,0.9256592,0.03771973,-0.3994141,0.921875,0.03699183,-0.4021991,0.00378418,0.0007278994,0.002784997,0.007297076,0.04973004,False,False,0
12/05/2020 17:23:55,59.84568,0.9130859,0.04296875,-0.415039,0.9240316,0.03845215,-0.4017741,0.9217152,0.0371005,-0.4024325,0.002316356,0.001351651,0.0006584525,0.004326459,0.04972504,False,False,0
12/05/2020 17:23:56,59.81142,0.90625,0.03515625,-0.4135742,0.9224039,0.03837077,-0.4035645,0.921439,0.03706578,-0.4026315,0.0009649396,0.001304992,0.0009329617,0.003202893,0.04972004,False,False,0
12/05/2020 17:23:56,59.81142,0.8999023,0.03710938,-0.4140625,0.9202474,0.03845215,-0.4053955,0.9210612,0.03706654,-0.402832,0.0008137822,0.001385607,0.002563477,0.004762866,0.04971504,False,False,0
12/05/2020 17:23:56,59.8485,0.9067383,0.03271484,-0.4301758,0.9190674,0.03861491,-0.4086914,0.9208142,0.03699151,-0.4033035,0.001746833,0.001623396,0.005387932,0.008758161,0.04971004,False,False,0
12/05/2020 17:23:56,59.8485,0.9038086,0.02783203,-0.4428711,0.9175618,0.03820801,-0.4127197,0.920526,0.03683627,-0.4039741,0.002964139,0.001371738,0.008745611,0.01308149,0.04970504,False,False,0
12/05/2020 17:23:56,59.84114,0.9038086,0.02783203,-0.4428711,0.9152425,0.03747559,-0.4162598,0.9202474,0.0366862,-0.4046224,0.005004883,0.000789389,0.01163739,0.01743166,0.04970004,False,False,0
12/05/2020 17:23:56,59.84114,0.8964844,0.02148438,-0.4501953,0.9122722,0.0357666,-0.4204915,0.9198578,0.03643699,-0.4053695,0.007585645,0.0006703846,0.01512203,0.02337806,0.04969504,False,False,0
12/05/2020 17:23:56,59.84446,0.8945313,0.01708984,-0.4472656,0.9099121,0.0337321,-0.4238688,0.9194493,0.03612494,-0.4060452,0.00953722,0.00239284,0.01782358,0.02975364,0.04969004,False,False,0
12/05/2020 17:23:56,59.84446,0.8999023,0.009277344,-0.4492188,0.9079997,0.03104655,-0.4274088,0.919139,0.03569879,-0.4067305,0.01113933,0.004652238,0.02067831,0.03646988,0.04968504,False,False,0
12/05/2020 17:23:56,59.82988,0.9091797,0.01464844,-0.4414063,0.9069011,0.02888997,-0.4307047,0.9189835,0.03536987,-0.4072723,0.0120824,0.006479898,0.0234324,0.0419947,0.04968004,False,False,0
12/05/2020 17:23:56,59.82988,0.9023438,0.02294922,-0.4418945,0.9052327,0.02758789,-0.4336751,0.9187275,0.03517878,-0.407805,0.01349473,0.007590894,0.02587014,0.04695577,0.04967504,False,False,0
12/05/2020 17:23:56,59.83609,0.9008789,0.0390625,-0.4379883,0.9030762,0.02734375,-0.4355469,0.918457,0.03523763,-0.4082623,0.01538086,0.007893879,0.02728456,0.0505593,0.04967004,True,True,1
12/05/2020 17:23:56,59.83609,0.9008789,0.05224609,-0.4448242,0.9020589,0.02811686,-0.438029,0.9181947,0.03549149,-0.408808,0.01613575,0.007374628,0.02922097,0.05273135,0.04967504,True,False,1
12/05/2020 17:23:56,59.39772,0.9008789,0.05224609,-0.4448242,0.9016113,0.02954102,-0.4406331,0.91794,0.03573788,-0.4093376,0.01632869,0.006196864,0.03129551,0.05382106,0.04968004,True,False,1
12/05/2020 17:23:56,59.39772,0.9077148,0.05615234,-0.4355469,0.9022624,0.03112793,-0.4424235,0.9177918,0.03603374,-0.4097175,0.01552945,0.004905812,0.03270599,0.05314126,0.04968504,True,False,1
12/05/2020 17:23:56,59.80817,0.9101563,0.046875,-0.4169922,0.9025472,0.03230794,-0.4413249,0.9176828,0.03618862,-0.4098214,0.01513559,0.003880676,0.03150344,0.0505197,0.04969004,True,False,1
